,query,direction,predicted theta,MAPE,Query sigma factor,predicted direction
92,"[34.0, 40.0, 65.0]",Z,"[46.70488739013672, 49.54691696166992, 59.85615158081055]",0.04871849715709686,1.2,cubY
93,"[34.0, 41.0, 52.0]",Z,"[46.86834716796875, 50.67097854614258, 62.2530403137207]",0.02659338340163231,1.2,cubY
94,"[34.0, 47.0, 61.0]",Z,"[32.61065673828125, 45.440765380859375, 63.293975830078125]",0.0337238535284996,1.2,cubX
95,"[35.0, 36.000003814697266, 40.0]",Z,"[28.72149085998535, 35.45927810668945, 55.10704040527344]",0.0285811610519886,1.2,cubY
96,"[35.0, 38.0, 57.0]",Z,"[32.65111541748047, 56.21397399902344, 64.83612060546875]",0.04219142347574234,1.2,cubX
97,"[37.0, 41.0, 55.0]",Z,"[29.843494415283203, 53.80885696411133, 67.35724639892578]",0.04517142102122307,1.2,cubX
98,"[40.0, 43.0, 53.0]",Z,"[30.694366455078125, 50.10970687866211, 55.3278923034668]",0.04442957788705826,1.2,cubX
99,"[41.0, 43.0, 44.0]",Z,"[20.0, 52.39869689941406, 55.088844299316406]",0.04505173861980438,1.2,cubY
100,"[48.0, 53.0, 58.0]",Z,"[33.1540412902832, 37.63745880126953, 60.97771453857422]",0.04147082567214966,1.2,cubX
101,"[49.0, 50.0, 55.0]",Z,"[20.0, 35.00065612792969, 39.86883544921875]",0.09219835698604584,1.2,cubY
102,"[52.0, 59.0, 69.0]",Z,"[32.04707336425781, 35.875545501708984, 55.76356506347656]",0.03944957256317139,1.2,cubX
103,"[54.0, 58.0, 66.0]",Z,"[30.05236053466797, 55.56919860839844, 63.67573165893555]",0.04433247819542885,1.2,cubX
